BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,195,3957,145,2937,155,3620
300,181,4299,126,3031,136,3801
500,229,4674,171,3533,178,4274
700,273,4129,205,3150,210,3850
900,228,5457,167,3034,171,4936
1000,273,3840,190,2870,198,3525
3000,257,6003,180,5770,188,5210
5000,260,4229,183,3150,185,4002
7000,272,4381,197,3304,197,4125
9000,348,4968,263,3863,267,4682
10000,312,5013,232,3882,237,4755
30000,333,6712,234,4958,240,6340
50000,396,6717,304,5365,303,6513
70000,349,6312,255,4859,256,5967
90000,338,6838,241,5118,245,6442
100000,414,7675,314,6066,315,7398
300000,451,8216,341,6524,340,8011
500000,470,8628,347,6755,347,8242
700000,464,8432,351,6671,347,8153
900000,474,8854,350,6900,345,8504
1000000,460,10390,336,7524,331,9288
3000000,459,10404,340,8166,336,9980
5000000,490,11153,360,8433,355,10528
7000000,522,11713,391,8923,381,10983
9000000,511,11140,377,8741,370,11076
