BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,143,2249,91,1473,98,1999
300,231,3432,167,2477,174,3108
500,217,3308,149,2305,154,3045
700,228,3410,160,2404,171,3083
900,252,2920,184,2166,189,2669
1000,219,2663,149,1822,156,2406
3000,282,3322,208,2435,213,3063
5000,266,3183,187,2272,188,3000
7000,284,3565,204,2562,209,3280
9000,267,3998,194,2913,198,3679
10000,275,3399,193,2432,194,3178
30000,397,4345,308,3382,310,4121
50000,419,5058,325,3902,326,4809
70000,369,5377,265,4377,270,4955
90000,381,5582,286,6961,282,5286
100000,435,14761,331,8821,330,18617
300000,417,6292,306,4680,306,5900
500000,395,6328,285,4591,284,6152
700000,393,6459,281,4664,276,6131
900000,483,5797,364,4393,354,5568
1000000,461,7721,340,5785,338,7431
3000000,506,8321,389,6414,383,7994
5000000,510,8705,381,6561,375,8326
7000000,470,8584,331,5837,323,7812
9000000,632,10866,500,11138,497,10414
