BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,304,2987,64,2538,315,3443
300,448,2938,91,2683,467,3138
500,497,2953,100,2703,517,3129
700,497,2542,100,2500,513,2746
900,497,2818,100,2435,521,3007
1000,452,2418,91,2380,469,2535
3000,502,2831,100,2539,523,2926
5000,595,2572,118,2491,615,2699
7000,644,2940,127,2838,667,3079
9000,647,2914,127,2689,673,3026
10000,693,3162,136,3080,717,2887
30000,793,3180,153,3035,819,3252
50000,791,3251,154,3028,821,3351
70000,793,3750,154,3352,825,3842
90000,843,5421,163,4835,877,5491
100000,893,4258,172,4232,921,4333
300000,842,3906,163,3960,863,4015
500000,987,5439,190,4830,1031,5528
700000,942,5181,181,4881,977,5271
900000,987,5473,190,4996,1027,5582
1000000,990,5230,190,4949,1027,5314
3000000,1136,7572,217,6841,1185,7534
5000000,1088,6257,207,6122,1121,6323
7000000,1137,8104,217,7283,1183,8061
9000000,1183,7942,226,6901,1239,8016
