BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,354,1760,73,1812,363,1920
300,448,2342,91,2204,465,2512
500,405,2061,82,1987,417,2196
700,450,2277,90,2192,463,2407
900,402,2393,82,1967,425,2533
1000,454,2011,91,1811,471,2142
3000,548,2201,109,2143,565,2317
5000,595,2543,118,2319,619,2641
7000,597,2483,117,2395,615,2591
9000,648,3214,127,3723,669,2749
10000,599,4068,118,4115,623,4132
30000,745,3392,144,3065,773,3494
50000,791,3072,154,3136,813,3124
70000,795,3315,154,3065,827,3383
90000,892,6979,172,4270,925,11026
100000,889,4699,172,4270,927,4754
300000,844,8106,163,4753,875,12884
500000,938,8079,181,9399,971,9566
700000,940,6855,181,7351,981,6849
900000,1036,5298,199,5170,1071,5317
1000000,992,5124,190,4799,1027,5146
3000000,1088,5660,207,5313,1127,5727
5000000,1189,6763,226,6064,1237,6777
7000000,1134,7025,217,6415,1181,7082
9000000,1186,6842,226,6453,1231,6859
