BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,149,3256,102,2296,110,2928
300,208,4062,150,3064,161,3626
500,195,3090,128,2071,132,2824
700,227,3206,156,2271,164,2950
900,243,3260,180,2417,191,2987
1000,240,4441,170,2166,177,2970
3000,265,3432,175,2320,178,3195
5000,258,4803,187,3413,189,4721
7000,308,4150,221,3037,227,3887
9000,377,4466,302,3640,302,4340
10000,320,3737,235,2816,239,3501
30000,312,4884,220,3442,219,4540
50000,294,3512,199,2436,201,3297
70000,405,5663,311,4402,312,5414
90000,414,5613,306,4248,303,5364
100000,475,6758,366,5246,370,6425
300000,423,6706,305,4755,300,6253
500000,401,5971,288,4476,284,5742
700000,426,7128,313,5467,315,6828
900000,441,6506,330,4942,324,6237
1000000,498,8623,386,6776,381,8345
3000000,497,8912,367,6653,362,8513
5000000,413,7336,283,5136,278,6995
7000000,495,8920,360,6524,360,8376
9000000,539,10847,405,9051,398,10960
