BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,306,3136,64,2509,321,3110
300,354,2795,73,2765,363,2928
500,404,3388,82,2932,423,3511
700,450,2878,90,2651,466,2966
900,500,2864,99,2600,517,2947
1000,501,2860,100,2641,521,2960
3000,597,3591,117,3222,622,3645
5000,644,3818,127,3584,667,3875
7000,600,3720,118,3207,627,3738
9000,694,3736,135,3421,722,3794
10000,647,3598,126,3498,663,3656
30000,791,3995,154,3928,815,4047
50000,791,4778,154,4412,829,5337
70000,794,4610,154,4373,831,4676
90000,840,4631,163,4393,869,4682
100000,892,6056,172,5563,927,6082
300000,845,6012,163,5456,879,6052
500000,889,6312,172,5781,925,6386
700000,941,6747,181,6066,983,6779
900000,1087,7238,208,6906,1123,7251
1000000,987,7627,190,7352,1023,7562
3000000,1088,8715,208,7758,1139,8820
5000000,1091,7752,208,7019,1133,7706
7000000,1134,9186,217,8177,1185,9255
9000000,1137,8417,217,8097,1175,8435
