BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,305,1055,64,1080,315,1251
300,403,1453,82,1381,419,1658
500,451,1644,91,1576,471,1963
700,448,1790,91,1517,471,2011
900,499,1740,100,1797,513,1916
1000,500,1905,100,1718,523,2087
3000,597,2228,118,2218,615,2438
5000,598,1957,117,2228,609,2846
7000,600,2212,118,2098,623,2431
9000,644,2495,127,2531,665,2713
10000,696,2878,136,2776,723,3090
30000,797,2693,154,2704,821,2834
50000,793,2958,153,2690,825,3095
70000,793,3217,154,3055,821,3394
90000,794,3134,154,2654,835,3267
100000,840,2971,163,2879,873,3127
300000,987,5284,190,4297,1033,5021
500000,889,3783,172,3560,925,3929
700000,1036,4490,199,3917,1083,4575
900000,987,4208,190,3814,1031,4338
1000000,940,4127,181,3726,981,4247
3000000,1085,4280,208,4269,1123,4406
5000000,1085,4798,208,4456,1131,4947
7000000,990,6211,190,5574,1031,6436
9000000,1138,5536,217,5102,1187,5654
