BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,150,1616,98,1096,109,1489
300,266,2633,201,2056,214,2462
500,226,2459,160,1846,169,2374
700,173,2190,111,1359,116,1845
900,257,2799,188,2086,200,2683
1000,306,2974,233,2337,243,2845
3000,277,3545,201,2538,208,3334
5000,224,2397,141,1482,149,2223
7000,250,2711,169,1804,175,2569
9000,306,4403,221,2886,225,4016
10000,323,4129,231,2886,236,3875
30000,313,3905,220,2405,220,3843
50000,369,3925,276,2885,276,3727
70000,453,4955,345,3728,348,4783
90000,357,4870,251,3328,258,4595
100000,384,5081,282,3569,279,4804
300000,387,4784,274,3246,270,4590
500000,452,5413,329,3786,323,5194
700000,407,4910,280,3185,278,4663
900000,442,5439,323,3856,325,5202
1000000,450,5741,337,4171,333,5602
3000000,531,7078,406,5221,402,6887
5000000,480,6275,353,4355,345,6047
7000000,503,6798,374,4805,368,6529
9000000,483,6315,349,4310,342,6053
