,Double,Int,String of length 128,String of length 16,String of length 256,String of length 32,String of length 64
Insertion,0.86221575528283,0.8904755222937487,1.396424859876086,1.528580955844842,1.3639637317635465,1.4287113194903314,1.4410335164319952
Search,1.503434095217567,1.534938713771519,1.049370768935362,1.0809708083845697,1.154149630721351,1.0819684215255672,1.1262556475298016
Erasure,0.4687283139658379,0.5012630529058637,1.2378588088083005,1.3868298084747714,1.2275325504090038,1.2936225290717642,1.2747965862261237
Initialization,1.0906334919173113,1.1224493762702454,1.340637181275237,1.4760246463804159,1.2937545572421911,1.3717983123378514,1.408728234911512
Destruction,0.7685241768852695,0.7757066661294388,0.8127165557646789,0.8130321041394133,0.8454281258302473,0.8585289914462912,0.8822426946763707
MemoryUsage,1.5074575863809525,1.4964374704038805,1.1837861572294373,1.5088756144444444,1.10521498641604,1.4022365593015875,1.2852996224943312
