InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,13,2895,8,2052,9,2605,238236,6226,13920
300,18,3500,11,2601,11,3227,913931,23258,43480
500,22,4161,14,3167,14,3905,1542448,34223,71760
700,19,3631,10,2641,11,3364,2371987,45008,101640
900,18,3063,11,2332,11,2877,2593474,53391,130320
1000,16,3256,7,2293,8,3069,3003269,62548,146800
3000,26,3791,15,3385,16,3430,9940797,145939,429400
5000,16,2800,6,1942,7,2629,17589582,262408,716720
7000,32,5043,20,4054,21,5006,29902824,783561,1013160
9000,26,4105,14,3092,14,3924,35073903,503995,1290800
10000,29,4047,17,3108,18,3839,44996494,543484,1440240
30000,30,5315,18,3639,19,3965,125912847,2035054,4318040
50000,29,4070,15,3046,16,3888,228109756,4368608,7186160
70000,35,5712,20,4228,21,5263,419195286,15506485,10079760
90000,38,6099,24,4732,25,5834,660032930,17188838,12961400
100000,40,6649,24,5114,25,6326,709940933,19778742,14398200
300000,27,5454,10,3938,10,5240,2245872927,68301623,43244800
500000,40,8060,24,5819,24,7255,4395162943,128089953,71992920
700000,38,7168,20,5379,21,6822,6453360736,180616444,100872600
900000,34,6900,15,5147,15,6616,8164232723,235564466,129557200
1000000,33,6902,14,5003,15,6591,9662363334,254526353,143894520
3000000,48,9056,26,6997,26,8786,36569620540,892721800,431972080
5000000,44,8969,23,6771,24,8616,64569421007,1633823864,720003280
7000000,38,8485,16,6383,16,8166,98930062956,2633791690,1007947240
9000000,38,8092,17,5999,18,8104,110610506540,2857883024,1296029280
