BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,0,205570,0,126022,0,32907
500,0,1223459,0,845291,0,151245
1000,0,2721101,0,1900272,0,359452
5000,0,18054452,0,13994497,0,1718128
10000,0,38605473,0,29063961,0,2195273
50000,0,284349922,0,187799303,0,18092232
100000,0,565245668,0,423964265,0,35847970
500000,0,3121002864,0,2317494988,0,106270158
