InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,8,1567,13,1582,10,1696,162924,7647,8000
300,11,2006,17,2017,13,2152,577999,22033,24000
500,12,2166,19,2165,14,2259,1028553,34717,40000
700,13,2238,18,2174,14,2386,1512864,48779,56000
900,12,2202,21,2394,14,2345,2052193,63232,72000
1000,17,2362,23,2249,19,2467,2061846,61004,80000
3000,16,2274,23,2270,18,2389,6988434,189398,240000
5000,17,2451,25,2443,19,2572,12807760,343711,400000
7000,19,2422,25,2280,21,2524,17566244,458838,560000
9000,21,3245,27,2627,23,2852,24794620,1262402,720000
10000,22,3037,27,2755,24,3161,30922757,1039730,800000
30000,23,3323,33,3536,25,4040,116219586,4151431,2400000
50000,22,3157,30,3080,23,3282,179052227,4579275,4000000
70000,22,3077,31,2965,24,3130,372985714,14283105,5600000
90000,22,4161,32,3953,23,4446,547740941,18556191,7200000
100000,23,3888,32,3819,24,3979,523269347,19962826,8000000
300000,28,4727,35,4300,30,4810,1971101031,71938044,24000000
500000,27,4643,39,4623,29,4733,3181863411,121978144,40000000
700000,30,7560,37,4822,32,11166,4325653164,171821416,56000000
900000,29,8795,43,9527,31,8666,6633702346,226130961,72000000
1000000,28,5101,39,4933,30,5198,7479118742,249723428,80000000
3000000,26,4687,41,4870,28,4776,20722048108,740429523,240000000
5000000,31,5862,45,5828,33,5947,40219590762,1252915884,400000000
7000000,34,6379,49,6385,36,6473,61198634699,1818751911,560000000
9000000,30,5965,45,6063,32,6040,83139844067,2433514549,720000000
