InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,11,2625,6,1842,7,2362,225674,7280,20480
300,15,3632,8,2556,9,3329,977613,23427,62640
500,14,3269,6,2239,7,2961,1620231,35722,105800
700,18,3504,9,3026,9,3248,2254094,46196,147320
900,21,3465,11,2573,11,3290,2725699,53502,189120
1000,16,2903,6,2020,6,2704,2910894,56315,209800
3000,20,4765,10,2120,10,2980,9611110,153159,620960
5000,28,5008,18,3736,19,4300,17309769,365705,1046120
7000,29,4823,18,3495,19,4322,30356764,449367,1453160
9000,29,4045,18,3109,18,3829,33757357,475929,1875720
10000,29,3571,18,2777,18,3451,38449606,550506,2080840
30000,27,4094,13,3077,13,3949,139874286,3062917,6250000
50000,25,4170,9,2990,10,3979,254820080,6247963,10418640
70000,31,5317,16,4018,17,5066,415425447,11741464,14562840
90000,30,5347,15,4027,16,5173,542142634,15056540,18719360
100000,26,5133,11,3753,12,4911,633148871,18193990,20799480
300000,34,6097,18,4590,19,5824,2101895974,67964008,62350320
500000,40,7035,22,5205,22,6625,4097561506,123103834,104046000
700000,30,6032,12,4360,13,6051,5872753772,172410936,145614520
900000,32,6473,13,4712,13,6197,8152326716,228262167,187250200
1000000,35,6742,16,5262,17,6371,8835926333,255387411,208042800
3000000,40,9656,20,6632,20,9660,32104237146,909890553,623875520
5000000,31,7366,10,5230,11,7114,65799115172,1672036709,1039982240
7000000,43,8849,22,6679,23,8483,96793789385,2481874922,1456361440
9000000,46,9165,25,7004,26,8836,134540628708,3347150626,1871816640
