InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,15,3065,10,2345,10,2949,259913,5666,10520
300,20,2900,14,2317,15,2830,732940,11599,28200
500,20,3298,13,2456,14,3120,1216814,20629,49880
700,18,3076,9,2233,10,2930,1906632,30621,67000
900,19,3425,10,2392,11,3246,2489004,39426,86920
1000,26,4956,17,3244,17,4353,3271640,56398,96800
3000,16,3309,5,2830,5,4603,11638092,160638,292920
5000,19,3309,8,2282,8,3154,16898883,306316,481680
7000,24,4219,12,2928,13,4003,28300936,280723,672000
9000,27,4786,15,3246,16,4349,41466199,582230,862600
10000,27,3837,15,2886,16,3747,40317930,569122,961000
30000,27,4422,14,2996,14,3980,142479269,1575930,2869240
50000,24,4106,10,2615,10,3716,216894741,3522993,4811400
70000,36,4477,21,3563,22,4752,320919585,4825599,6742880
90000,29,4367,14,3062,14,4266,368153955,6436955,8659560
100000,26,3223,12,2241,12,3123,387674618,4572217,9605080
300000,30,4593,15,3292,16,4498,1406161979,26551443,28745960
500000,29,4539,12,3099,13,4707,2927569440,50194579,48003720
700000,46,6264,28,4728,28,6120,4222036453,76268523,67137640
900000,35,5066,17,3596,17,5011,5715314008,99212131,86436960
1000000,32,5210,13,3515,14,5050,6727257575,115326795,95959920
3000000,53,6971,33,5344,34,6796,23003362679,340660697,288040200
5000000,44,6682,24,4890,24,6542,40199186790,655381008,480176160
7000000,50,5590,29,4111,30,5444,62048733608,699528743,671837760
9000000,40,6592,18,4550,19,6441,84609797036,1263355716,863995400
