InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,10,1792,13,1719,12,2042,146733,6106,6400
300,13,2209,16,2156,14,2567,569314,19625,19200
500,8,1265,15,1577,10,1505,897168,24502,32000
700,15,2091,19,2023,17,2309,1275436,35191,44800
900,17,2349,21,2185,19,2587,1979602,57984,57600
1000,13,2467,18,2550,14,2327,2367077,63172,64000
3000,19,5131,27,3309,21,3691,7971041,235054,192000
5000,16,2165,23,2240,18,2406,12610101,315789,320000
7000,21,2702,27,2606,23,2946,18178201,395883,448000
9000,21,3010,27,2859,23,3209,27240075,732580,576000
10000,20,2585,27,2605,22,2813,27333855,577626,640000
30000,20,2577,29,2691,22,2765,76812676,3732207,1920000
50000,24,3058,33,3100,26,3268,174898590,5150673,3200000
70000,23,2510,33,2598,25,2690,218871105,5633649,4480000
90000,19,2145,33,2530,21,2324,251518320,5030440,5760000
100000,29,2764,35,2536,31,3603,259726700,4540301,6400000
300000,30,3559,39,3492,32,3765,1037285537,31478506,19200000
500000,27,3308,37,3327,29,3492,1844203200,60673871,32000000
700000,27,3408,39,3561,29,3565,2849721693,95992993,44800000
900000,30,3808,41,3882,32,4000,3759603322,120824208,57600000
1000000,34,4058,41,3770,36,4260,4201639357,141865329,64000000
3000000,34,4710,47,5157,36,4956,15624602391,468826276,192000000
5000000,30,4299,43,4502,32,4500,28110438308,788180837,320000000
7000000,36,4980,51,5152,38,5130,41516770044,1124782814,448000000
9000000,32,4334,51,4982,34,4525,55063613168,1485170792,576000000
